date,time,activity,happiness
25-Mar-23,0:00,1,5
25-Mar-23,17:00,5,4
25-Mar-23,21:00,3,1
26-Mar-23,0:00,1,5
26-Mar-23,17:00,4,4
26-Mar-23,21:00,3,1
27-Mar-23,0:00,1,5
27-Mar-23,17:00,5,4
27-Mar-23,21:00,3,1
28-Mar-23,0:00,1,5
28-Mar-23,17:00,4,4
28-Mar-23,21:00,3,1
29-Mar-23,0:00,1,5
29-Mar-23,17:00,4,4
29-Mar-23,21:00,3,2
30-Mar-23,0:00,1,5
30-Mar-23,17:00,5,4
30-Mar-23,21:00,3,2
31-Mar-23,0:00,1,5
31-Mar-23,17:00,4,4
31-Mar-23,21:00,3,1
1-Apr-23,0:00,1,5
1-Apr-23,17:00,5,4
1-Apr-23,21:00,3,1
2-Apr-23,0:00,1,5
2-Apr-23,17:00,4,4
2-Apr-23,21:00,3,2
3-Apr-23,0:00,1,5
3-Apr-23,17:00,5,4
3-Apr-23,21:00,3,2
4-Apr-23,0:00,1,5
4-Apr-23,17:00,4,4
4-Apr-23,21:00,3,1
5-Apr-23,0:00,1,5
5-Apr-23,17:00,4,4
5-Apr-23,21:00,3,2
6-Apr-23,0:00,1,5
6-Apr-23,17:00,5,4
6-Apr-23,21:00,3,2
7-Apr-23,0:00,1,5
7-Apr-23,17:00,4,4
7-Apr-23,21:00,3,2
8-Apr-23,0:00,1,5
8-Apr-23,17:00,5,4
8-Apr-23,21:00,3,2
9-Apr-23,0:00,1,5
9-Apr-23,17:00,4,4
9-Apr-23,21:00,3,2
10-Apr-23,0:00,1,5
10-Apr-23,17:00,5,4
10-Apr-23,21:00,4,3
11-Apr-23,0:00,1,5
11-Apr-23,17:00,5,4
11-Apr-23,21:00,3,3
12-Apr-23,0:00,1,5
12-Apr-23,17:00,4,4
12-Apr-23,21:00,3,1
13-Apr-23,0:00,1,5
13-Apr-23,17:00,5,4
13-Apr-23,21:00,3,2
14-Apr-23,0:00,1,5
14-Apr-23,17:00,4,4
14-Apr-23,21:00,3,1
15-Apr-23,0:00,1,5
15-Apr-23,17:00,5,4
15-Apr-23,21:00,3,3
16-Apr-23,0:00,1,5
16-Apr-23,17:00,4,4
16-Apr-23,21:00,3,2
17-Apr-23,0:00,1,5
17-Apr-23,17:00,5,4
17-Apr-23,21:00,3,2
18-Apr-23,0:00,1,5
18-Apr-23,17:00,5,4
18-Apr-23,21:00,3,1
19-Apr-23,0:00,1,5
19-Apr-23,17:00,4,4
19-Apr-23,21:00,3,2
20-Apr-23,0:00,1,5
20-Apr-23,17:00,5,4
20-Apr-23,21:00,3,3
21-Apr-23,0:00,1,5
21-Apr-23,17:00,4,4
21-Apr-23,21:00,3,1
22-Apr-23,0:00,1,5
22-Apr-23,17:00,5,4
22-Apr-23,21:00,3,3
23-Apr-23,0:00,1,5
23-Apr-23,17:00,4,4
23-Apr-23,21:00,3,2
24-Apr-23,0:00,1,5
24-Apr-23,17:00,4,4
24-Apr-23,21:00,3,1
25-Apr-23,0:00,1,5
25-Apr-23,17:00,5,4
25-Apr-23,21:00,3,3
,,,
,,,
,,,
,,,
,,,
,,,
