"App name","Usage time","Access count"
"WhatsApp","7:44:36","245"
"Gmail","6:42:50","88"
"YouTube Music","5:25:39","31"
"Facebook","0:41:46","6"
"App Usage","0:33:06","27"
"Drive","0:21:48","14"
"TransLoc","0:19:14","3"
"Twitter","0:18:50","9"
"Chrome","0:18:18","15"
"Clock","0:12:47","24"
"Instagram","0:10:56","9"
"Cricbuzz","0:08:10","14"
"PhonePe","0:08:05","8"
"Milkbasket","0:06:55","2"
"TOI","0:06:37","12"
"LinkedIn","0:03:32","5"
"Lyft","0:02:58","6"
"Times Club","0:02:46","1"
"Uber","0:02:20","4"
"inshorts","0:02:07","2"
"Samsung Notes","0:02:03","2"
"Dailyhunt","0:01:42","1"
"YouTube","0:01:33","2"
"Gallery","0:01:28","4"
"Weather","0:01:03","8"
"Google Play Store","0:00:59","4"
"Messages","0:00:56","6"
"Target","0:00:54","2"
"Phone","0:00:33","4"
"MyJio","0:00:27","2"
"Myntra","0:00:24","1"
"Camera","0:00:22","3"
"Maps","0:00:20","2"
"Google","0:00:19","3"
"Airtel","0:00:18","1"
"Permission controller","0:00:15","4"
"Wireless emergency alerts","0:00:13","1"
"Finder","0:00:07","1"
"IndusMobile","0:00:02","1"
""
"Date","Usage time"
"06/04/2023","0:17:22"
"05/04/2023","0:21:06"
"04/04/2023","3:42:06"
"03/04/2023","3:07:44"
"02/04/2023","0:19:55"
"01/04/2023","0:12:27"
"31/03/2023","0:19:56"
"30/03/2023","0:42:23"
"29/03/2023","9:12:05"
"28/03/2023","0:46:01"
"27/03/2023","2:19:38"
"26/03/2023","2:26:35"
""
"Usage history, 6 April 2023 - 26 March 2023"
"Created by App Usage on Thursday, 6 April 2023, 11:33"
